authors,Desc,book_edition,book_format,book_isbn,book_pages,rating,book_rating_count,book_review_count,title,genres,image_url
Suzanne Collins,"Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",,Hardcover,9.78E+12,374 pages,4.33,5519135,160706,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction,https://images.gr-assets.com/books/1447303603l/2767052.jpg
J.K. Rowling|Mary GrandPrÃ©,"There is a door at the end of a silent corridor. And itâ€™s haunting Harry Pottterâ€™s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named---a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them alll.(back cover)",US Edition,Paperback,9.78E+12,870 pages,4.48,2041594,33264,Harry Potter and the Order of the Phoenix,Fantasy|Young Adult|Fiction,https://images.gr-assets.com/books/1255614970l/2.jpg
Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",50th Anniversary,Paperback,9.78E+12,324 pages,4.27,3745197,79450,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School,https://images.gr-assets.com/books/1361975680l/2657.jpg
Jane Austen|Anna Quindlen|Mrs. Oliphant|George Saintsbury|Mark Twain|A.C. Bradley|Walter A. Raleigh|Virginia Woolf,"Â«Ãˆ cosa ormai risaputa che a uno scapolo in possesso di un'ingente fortuna manchi soltanto una moglie. Questa veritÃ  Ã¨ cosÃ­ radicata nella mente delle famiglie del luoho che, nel momento in cui un simile personaggio viene a far parte del vicinato, prima ancora di conoscere anche lontanamente i suoi desiderÃ® in proposito, viene immediatamente considerato come proprietÃ  legittima di una o l'altra delle loro figlie.Â»Orgoglio e pregiudizio Ã¨ uno dei primi romanzi di Jane Austen. La scrittrice lo iniziÃ² a ventun anni; il libro, rifiutato da un editore londinese, rimase in un cassetto fino alla sua pubblicazione anonima nel 1813, e da allora Ã¨ considerato tra i piÃº importanti romanzi della letteratura inglese. Ãˆ la storia delle cinque sorelle Bennet e dei loro corteggiatori, con al centro il romantico contrasto tra l'adorabile e capricciosa Elizabeth e l'altezzoso Darcy; lo spirito di osservazione implacabile e quasi cinico, lo studio arguto dei caratteri, la satira delle vanitÃ  e delle debolezze della vita domestica, fanno di questo romanzo una delle piÃº efficaci e indimenticabili commedie di costume del periodo Regency inglese.","Modern Library Classics, USA / CAN",Paperback,9.78E+12,279 pages,4.25,2453620,54322,Pride and Prejudice,Classics|Fiction|Romance,https://images.gr-assets.com/books/1320399351l/1885.jpg
Stephenie Meyer,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of himâ€”and I didn't know how dominant that part might beâ€”that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. This is a love story with bite.",,Paperback,9.78E+12,498 pages,3.58,4281268,97991,Twilight,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal,https://images.gr-assets.com/books/1361039443l/41865.jpg
Markus Zusak,"Trying to make sense of the horrors of World War II, Death relates the story of Liesel--a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors.",First American Edition (US / CAN),Hardcover,9.78E+12,552 pages,4.36,1485632,100821,The Book Thief,Historical|Historical Fiction|Fiction|Young Adult,https://images.gr-assets.com/books/1522157426l/19063.jpg
C.S. Lewis|Pauline Baynes,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evilâ€”what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven booksâ€”unabridgedâ€”in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",Reissue Edition,Paperback,9.78E+12,767 pages,4.25,437829,9439,The Chronicles of Narnia,Fantasy|Classics|Fiction|Young Adult|Childrens,https://images.gr-assets.com/books/1449868701l/11127.jpg
George Orwell,Ù…Ø²Ø±Ø¹Ø© Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§Øª Ù‡ÙŠ Ø±Ø§Ø¦Ø¹Ø© Ø¬ÙˆØ±Ø¬ Ø£ÙˆØ±ÙˆÙŠÙ„ Ø§Ù„Ø®Ø§Ù„Ø¯Ø©.. Ø§Ø®ØªÙŠØ±Øª Ø¯Ø§Ø¦Ù…Ù‹Ø§ Ø¶Ù…Ù† Ø£ÙØ¶Ù„ Ø§Ù„Ø£Ø¹Ù…Ø§Ù„ Ø§Ù„Ø£Ø¯Ø¨ÙŠØ© ÙÙŠ Ø§Ù„Ù‚Ø±Ù† Ø§Ù„Ø¹Ø´Ø±ÙŠÙ† .. ØªÙØ±Ø¬Ù…Øª Ù„Ø£ÙƒØ«Ø± Ù…Ù† Ø³Ø¨Ø¹ÙŠÙ† Ù„ØºØ©.. ÙˆÙ‚Ø±Ø£Ù‡Ø§ Ø§Ù„Ù…Ù„Ø§ÙŠÙŠÙ† ÙÙŠ ÙƒÙ„ Ø£Ù†Ø­Ø§Ø¡ Ø§Ù„Ø¹Ø§Ù„Ù….. Ø·ÙØ¨Ø¹Øª Ù‡Ø°Ù‡ Ø§Ù„Ø±ÙˆØ§ÙŠØ© Ø§Ù„Ø£Ø´Ù‡Ø± Ù„ÙƒØ§ØªØ¨Ù‡Ø§ Ù„Ù„Ù…Ø±Ø© Ø§Ù„Ø£ÙˆÙ„Ù‰ ÙÙŠ Ø¹Ø§Ù… 1945 .. ÙˆØªØ­ÙƒÙ‰ Ø¹Ù† Ù…Ø¬Ù…ÙˆØ¹Ø© Ù…Ù† Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§Øª Ù‚Ø±Ø±Øª Ø§Ù„Ù‚ÙŠØ§Ù… Ø¨Ø«ÙˆØ±Ø© Ø¶Ø¯ Ù…Ø§Ù„Ùƒ Ø§Ù„Ù…Ø²Ø±Ø¹Ø© Ù„ØªØ­ÙƒÙ… Ù†ÙØ³Ù‡Ø§ Ø¨Ù†ÙØ³Ù‡Ø§ ÙˆØªØªÙˆÙ„Ù‰ Ø´Ø¦ÙˆÙ† Ø­ÙŠØ§ØªÙ‡Ø§. ÙˆÙ‡Ù†Ø§ Ø¨Ø±Ø¹ Ø£ÙˆØ±ÙˆÙŠÙ„ ÙÙŠ Ø£Ù† ÙŠÙØ¬Ø±Ù‰ Ù†ÙˆØ¹Ù‹Ø§ Ù…Ù† Ø§Ù„Ø­ÙƒÙ…Ø© Ø§Ù„Ø³ÙŠØ§Ø³ÙŠØ© Ø§Ù„Ø³Ø§Ø®Ø±Ø© ÙˆØ§Ù„Ù…Ù…ØªØ¹Ø© Ø¹Ù„Ù‰ Ø£Ù„Ø³Ù†Ø© Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§ØªØŒ ØªÙƒØ´Ù Ø§Ù„ØªÙ†Ø§Ù‚Ø¶ Ø§Ù„Ø­Ø§Ø¯ Ø¨ÙŠÙ† Ø§Ù„Ø´Ø¹Ø§Ø±Ø§Øª Ø§Ù„Ø«ÙˆØ±ÙŠØ© ÙˆÙ…Ù…Ø§Ø±Ø³Ø§Øª Ø§Ù„Ø­ÙƒØ§Ù… Ø¨Ø¹Ø¯ Ø§Ù„Ø«ÙˆØ±Ø©ØŒ Ø¹Ù„Ù‰ Ø®Ù„ÙÙŠØ© Ù†Ù‚Ø¯Ù‡ Ø§Ù„Ù„Ø§Ø°Ø¹ Ù„Ù„Ø¯ÙŠÙƒØªØ§ØªÙˆØ± Ø§Ù„Ø³ÙˆÙÙŠØªÙŠ Ø¬ÙˆØ²ÙŠÙ Ø³ØªØ§Ù„ÙŠÙ†.. Ù„ÙƒÙ†Ù‡ ÙŠØªØ¬Ø§ÙˆØ² Ø°Ù„Ùƒ Ø£ÙŠØ¶Ù‹Ø§ Ù„ÙŠØºÙˆØµ Ø¨Ø¹ÙŠØ¯Ù‹Ø§ ÙÙŠ Ø£Ø¹Ù…Ø§Ù‚ Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§Øª Ø§Ù„ØªÙŠ Ù…Ù†Ù‡Ø§ Ù€Ù€ ÙˆÙ„ÙŠØ³ Ø¹Ù„Ù‰ Ø±Ø£Ø³Ù‡Ø§ Ù€Ù€ Ø§Ù„Ø¥Ù†Ø³Ø§Ù†.ÙŠØ¹ØªØ¨Ø± Ø¬ÙˆØ±Ø¬ Ø£ÙˆØ±ÙˆÙŠÙ„ 1903-1950 Ù…Ù† Ø£Ù‡Ù… Ø§Ù„ÙƒÙÙ€ØªÙŽÙ‘Ø§Ø¨ Ø§Ù„Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠÙŠÙ† ÙÙŠ Ø§Ù„Ù‚Ø±Ù† Ø§Ù„Ø¹Ø´Ø±ÙŠÙ†. ÙˆÙ„Ø¯ ÙÙŠ Ø§Ù„Ù‡Ù†Ø¯ ÙˆØ¹Ù…Ù„ ÙÙŠ Ø¨ÙˆØ±Ù…Ø§ Ø¨Ø§Ù„Ø´Ø±Ø·Ø© Ø§Ù„Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ©ØŒ Ø¹Ø§Ø´ ÙÙ‚Ø±Ø§ Ù…Ø¯Ù‚Ø¹Ù‹Ø§ ÙÙŠ Ù„Ù†Ø¯Ù† ÙˆØ¨Ø§Ø±ÙŠØ³ØŒ ÙˆØªØ·ÙˆØ¹ Ø¹Ø§Ù… 1936 Ù„ÙŠØ­Ø§Ø±Ø¨ ÙÙŠ ØµÙÙˆÙ Ø§Ù„Ø¬Ù…Ù‡ÙˆØ±ÙŠÙŠÙ† ÙÙŠ Ø¥Ø³Ø¨Ø§Ù†ÙŠØ§ Ø¶Ø¯ Ù‚ÙˆØ§Øª ÙØ±Ø§Ù†ÙƒÙˆ Ø§Ù„ÙØ§Ø´ÙŠØ©ØŒ Ø«Ù… Ø¹Ù…Ù„ Ø¨Ù‡ÙŠØ¦Ø© Ø§Ù„Ø¥Ø°Ø§Ø¹Ø© Ø§Ù„Ø¨Ø±ÙŠØ·Ø§Ù†ÙŠØ© ÙˆÙƒÙ…Ø­Ø±Ø± ÙˆØµØ­ÙÙŠ Ø­ØªÙ‰ Ù†Ù‡Ø§ÙŠØ© Ø­ÙŠØ§ØªÙ‡. Ø§Ù‡ØªÙ… Ø£ÙˆØ±ÙˆÙŠÙ„ Ø·ÙˆØ§Ù„ Ø­ÙŠØ§ØªÙ‡ Ø¨Ø§Ù„Ø¯ÙØ§Ø¹ Ø¹Ù† Ø§Ù„Ù…Ø¸Ù„ÙˆÙ…ÙŠÙ† ÙˆØ§Ù„Ø­Ù‚ ÙˆØ§Ù„Ø¯ÙŠÙ…Ù‚Ø±Ø§Ø·ÙŠØ© ÙˆÙ…Ø­Ø§Ø±Ø¨Ø© Ø§Ù„Ø¯ÙƒØªØ§ØªÙˆØ±ÙŠØ© ÙˆØ§Ù„ÙÙ‚Ø± ÙˆØ§Ù„Ø¸Ù„Ù…. ÙˆÙƒØªØ¨ Ø§Ù„Ø´Ø¹Ø± ÙˆØ§Ù„Ù…Ù‚Ø§Ù„ Ø§Ù„ØµØ­ÙÙŠ ÙˆØ§Ù„Ù…Ø°ÙƒØ±Ø§Øª ÙˆØ§Ù„Ø±ÙˆØ§ÙŠØ©. Ù…Ù† Ø£Ù‡Ù… Ø±ÙˆØ§ÙŠØ§ØªÙ‡ Ù…Ø²Ø±Ø¹Ø© Ø§Ù„Ø­ÙŠÙˆØ§Ù†Ø§Øª Ùˆ1984,,Paperback,9.78E+12,122 pages,3.9,2235084,42156,Animal Farm,Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School,https://images.gr-assets.com/books/1424037542l/7613.jpg
Margaret Mitchell,"Gone with the Wind is a novel written by Margaret Mitchell, first published in 1936. The story is set in Clayton County, Georgia, and Atlanta during the American Civil War and Reconstruction era. It depicts the struggles of young Scarlett O'Hara, the daughter of a well-to-do plantation owner, who must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea. A historical novel, the story is a Bildungsroman or coming-of-age story, with the title taken from a poem written by Ernest Dowson.",,Paperback,9.78E+12,1037 pages,4.29,969181,17452,Gone with the Wind,Classics|Historical|Historical Fiction|Fiction|Romance|Historical,https://images.gr-assets.com/books/1328025229l/18405.jpg
J.R.R. Tolkien,Ù„Ø¬Ø²Ø¡ Ø§Ù„Ø«Ø§Ù„Ø« Ù…Ù† Ù…Ù„Ø­Ù…Ø© Ø¬ÙŠÙ‡ Ø£Ø± Ø£Ø± ØªÙˆÙ„ÙƒÙŠÙ† Ø§Ù„Ø±Ø§Ø¦Ø¹Ø© Ø³ÙŠØ¯ Ø§Ù„Ø®ÙˆØ§ØªÙ… Ø¯Ø®Ù„ Ø£ÙØ±Ø§Ø¯ Ø±ÙÙ‚Ø© Ø§Ù„Ø®Ø§ØªÙ… ÙÙ‰ Ù…ØºØ§Ù…Ø±Ø§Øª Ù…Ù†ÙØµÙ„Ø© Ø£Ø«Ù†Ø§Ø¡ Ø¥Ù†Ø¬Ø§Ø² Ø§Ù„Ù…Ù‡Ù…Ø© ÙˆØ³ÙŠØ±Ù‡Ø§ ÙÙ‰ Ø·Ø±ÙŠÙ‚ Ø§Ù„ØªÙ†ÙÙŠØ° - Ø§Ù…Ø§ Ø£Ø±Ø§Ø¬ÙˆÙ† Ø§Ù„Ø°Ù‰ ÙƒØ´Ù Ø£Ù†Ù‡ Ø§Ù„ÙˆØ±ÙŠØ« Ø§Ù„Ø®Ù„ÙÙ‰ Ù„Ù…Ù„ÙˆÙƒ Ø§Ù„ØºØ±Ø¨ Ø§Ù„Ù‚Ø¯Ø§Ù…Ù‰ ÙÙ‚Ø¯ Ø£Ù†Ø¶Ù… Ø¥Ù„Ù‰ Ø®ÙŠØ§Ù„Ø© Ø±ÙˆÙ‡Ø§Ù† Ø¶Ø¯ Ù‚ÙˆÙ‰ Ø£ÙŠØ²Ù†Ø¬Ø§Ø±Ø¯ ÙˆØ£Ø´ØªØ±Ùƒ ÙÙ‰ Ù†ØµØ± Ù‡ÙˆØ±Ù†Ø¨Ø±Ø¬ Ø§Ù„Ø°Ù‰ ØªØ­Ù‚Ù‚ Ø¨ØµØ¹ÙˆØ¨Ø© ÙˆØ¨Ø£Ø³ - Ø£Ù…Ø§ Ù…ÙŠØ±Ù‰ ÙˆØ¨ÙŠØ¨ÙŠÙ† ÙƒØ§Ù†Ø§ Ù‚Ø¯ ØªØ¹Ø±Ø¶Ø§ Ù„Ù„Ø¥Ø®ØªØ·Ø§Ù Ù…Ù† Ø¬Ø§Ù†Ø¨ Ø§Ù„Ø£ÙˆØ±ÙƒÙŠÙŠÙ† ÙÙ‚Ø¯ Ù‡Ø±Ø¨Ø§ Ø¥Ù„Ù‰ ØºØ§Ø¨Ø© ÙØ§Ù†Ø¬ÙˆÙ† ÙˆÙ‡Ù†Ø§Ùƒ Ù‚Ø§Ø¨Ù„Ø§ Ø§Ù„Ø£Ù†ØªÙŠÙŠÙ† ÙˆØ¹Ø§Ø¯ Ø¬Ø§Ù†Ø¯Ø§Ù„Ù ÙÙŠÙ…Ø§ ÙŠØ´Ø¨Ø© Ø§Ù„Ù…Ø¹Ø¬Ø²Ø© ÙˆÙ‡Ø²Ù… Ø§Ù„Ø³Ø§Ø­Ø± Ø§Ù„Ø´Ø±ÙŠØ± Ø³Ø§Ø±ÙˆÙ…Ø§Ù† ÙˆÙÙ‰ Ù†ÙØ³ Ø§Ù„ÙˆÙ‚Øª ÙØ¥Ù† Ø³Ø§Ù… ÙˆÙØ±ÙˆØ¯Ùˆ Ø±Ø§Ø­Ø§ ÙŠØªÙ‚Ø¯Ù…Ø§Ù† Ø¨Ø¥ØªØ¬Ø§Ù‡ Ù…ÙˆØ±Ø¯Ùˆ Ù„ØªØ¯Ù…ÙŠØ± Ø§Ù„Ø®Ø§ØªÙ… ÙˆØ¨Ø±ÙÙ‚ØªÙ‡Ù…Ø§ Ø³Ù…ÙŠØ¬ÙˆÙ„ - Ø¬ÙˆÙ„Ø§Ù… ÙˆÙ‡Ùˆ Ù„Ø§ ÙŠØ²Ø§Ù„ Ù…Ù‡ÙˆÙˆØ³Ø§ Ø¨ Ø´ÙŠØ¦Ø© Ø§Ù„Ø«Ù…ÙŠÙ† ÙˆØ¨Ø¹Ø¯ Ù…Ø¹Ø±ÙƒØ© Ù…Ø¹ Ø£Ù†Ø«Ù‰ Ø§Ù„Ø¹Ù†ÙƒØ¨ÙˆØª Ø§Ù„Ø¹Ù…Ù„Ø§Ù‚ Ø´ÙŠÙ„ÙˆØ¨ ØªØ±Ùƒ Ø³Ø§Ù… Ø³ÙŠØ¯Ù‡ Ø·Ù†Ø§ Ù…Ù†Ù‡ Ø£Ù†Ù‡ Ù…Ø§Øª ÙˆÙ„ÙƒÙ† ÙØ±ÙˆØ¯Ùˆ ÙƒØ§Ù† Ù„Ø§ ÙŠØ²Ø§Ù„ Ø¹Ù„Ù‰ Ù‚ÙŠØ¯ Ø§Ù„Ø­ÙŠØ§Ø© ÙÙ‰ Ø£ÙŠØ¯Ù‰ Ø§Ù„Ø£ÙˆØ±ÙƒÙŠÙŠÙ† ÙˆÙƒØ§Ù†Øª Ø¬ÙŠÙˆØ´ Ø³ÙŠØ¯ Ø§Ù„Ø¸Ù„Ø§Ù… ØªØªØ¬Ù…Ø¹ Ø¨Ø¥Ø³ØªÙ…Ø±Ø§Ø±,Hobbit Movie Tie-in Boxed set,Mass Market Paperback,9.78E+12,1728 pages,4.59,99793,1652,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Fantasy|Fiction|Classics,https://images.gr-assets.com/books/1346072396l/30.jpg
